temp,prec,dust,Yellowdustdays,Tropicalnights,heatwavedays,Year
1.9,16.2,57,1,0,0,2014
7.9,7.2,60,2,0,0,2014
14,31,58,0,0,0,2014
18.9,63,63,4,0,1,2014
23.1,98.1,38,0,0,0,2014
26.1,207.9,38,0,4,7,2014
25.2,172.8,29,0,2,2,2014
22.1,88.1,29,0,0,0,2014
15.6,52.2,33,0,0,0,2014
9,41.5,45,1,0,0,2014
-2.9,17.9,46,1,0,0,2014
-0.9,11.3,49,1,0,0,2015
1,22.7,84,4,0,0,2015
6.3,9.6,71,8,0,0,2015
13.3,80.5,45,2,0,0,2015
18.9,28.9,45,0,0,0,2015
23.6,99,35,0,0,1,2015
25.8,226,30,0,7,4,2015
26.3,72.9,34,0,5,3,2015
22.4,26,29,0,0,0,2015
15.5,81.5,45,0,0,0,2015
8.9,104.6,33,0,0,0,2015
1.6,29.1,48,0,0,0,2015
-3.2,1,50,0,0,0,2016
0.2,47.6,45,0,0,0,2016
7,40.5,64,2,0,0,2016
14.1,76.8,71,4,0,0,2016
19.6,160.5,56,1,0,0,2016
23.6,54.4,46,0,0,0,2016
26.2,358.2,33,0,10,4,2016
28,67.1,34,0,22,20,2016
23.1,33,37,0,0,0,2016
16.1,74.8,37,0,0,0,2016
6.8,16.7,53,0,0,0,2016
1.2,61.1,48,0,0,0,2016
-1.8,14.9,53,1,0,0,2017
-0.2,11.1,46,0,0,0,2017
6.3,7.9,60,0,0,0,2017
13.9,61.6,56,1,0,0,2017
19.5,16.1,63,5,0,0,2017
23.3,66.6,41,0,0,1,2017
26.9,621,33,0,10,5,2017
25.9,297,21,0,9,7,2017
22.1,35,32,0,0,0,2017
16.4,26.5,29,0,0,0,2017
5.6,40.7,42,3,0,0,2017
-1.9,34.8,50,0,0,0,2017
-4,8.5,52,0,0,0,2018
-1.6,29.6,53,0,0,0,2018
8.1,49.5,52,0,0,0,2018
13,130.3,52,2,0,0,2018
18.2,222,42,1,0,0,2018
23.1,171.5,37,0,0,0,2018
27.8,185.6,24,0,12,16,2018
28.8,202.6,22,0,17,19,2018
21.5,68.5,20,0,0,0,2018
13.1,120.5,28,0,0,0,2018
7.8,79.1,52,2,0,0,2018
-0.6,16.4,43,0,0,0,2018
-0.9,0,66,0,0,0,2019
1,23.8,57,0,0,0,2019
7.1,26.8,69,0,0,0,2019
12.1,47.3,41,0,0,0,2019
19.4,37.8,53,0,0,1,2019
22.5,74,29,0,0,0,2019
25.9,194.4,26,0,6,4,2019
27.2,190.5,25,0,11,10,2019
22.6,139.8,21,0,0,0,2019
16.4,55.5,33,1,0,0,2019
7.6,78.8,41,2,0,0,2019
1.4,22.6,41,0,0,0,2019
