YearMonth,Prec(mm)
08-Aug,251.2
08-Sep,99.2
08-Oct,41.8
08-Nov,19.6
08-Dec,25.9
09-Jan,5.7
09-Feb,36.9
09-Mar,63.9
09-Apr,66.5
09-May,109
09-Jun,132
09-Jul,659.4
09-Aug,285.3
09-Sep,64.5
09-Oct,66.9
09-Nov,52.4
09-Dec,21.5
10-Jan,29.3
10-Feb,55.3
10-Mar,82.5
10-Apr,62.8
10-May,124
10-Jun,127.6
10-Jul,239.2
10-Aug,598.7
10-Sep,671.5
10-Oct,25.6
10-Nov,10.9
10-Dec,16.1
11-Jan,8.9
11-Feb,29.1
11-Mar,14.6
11-Apr,110.1
11-May,53.4
11-Jun,404.5
11-Jul,1131
11-Aug,166.8
11-Sep,25.6
11-Oct,32
11-Nov,56.2
11-Dec,7.1
12-Jan,6.7
12-Feb,0.8
12-Mar,47.4
12-Apr,157
12-May,8.2
12-Jun,91.9
12-Jul,448.9
12-Aug,464.9
12-Sep,212
12-Oct,99.3
12-Nov,67.8
12-Dec,41.4
13-Jan,22.1
13-Feb,74.1
13-Mar,27.3
13-Apr,71.7
13-May,132
13-Jun,28.3
13-Jul,676.2
13-Aug,148.6
13-Sep,138.5
13-Oct,13.5
13-Nov,46.8
13-Dec,24.7
14-Jan,13
14-Feb,16.2
14-Mar,7.2
14-Apr,31
14-May,63
14-Jun,98.1
14-Jul,207.9
14-Aug,172.8
14-Sep,88.1
14-Oct,52.2
14-Nov,41.5
14-Dec,17.9
15-Jan,11.3
15-Feb,22.7
15-Mar,9.6
15-Apr,80.5
15-May,28.9
15-Jun,99
15-Jul,226
15-Aug,72.9
15-Sep,26
15-Oct,81.5
15-Nov,104.6
15-Dec,29.1
16-Jan,1
16-Feb,47.6
16-Mar,40.5
16-Apr,76.8
16-May,160.5
16-Jun,54.4
16-Jul,358.2
16-Aug,67.1
16-Sep,33
16-Oct,74.8
16-Nov,16.7
16-Dec,61.1
17-Jan,14.9
17-Feb,11.1
17-Mar,7.9
17-Apr,61.6
17-May,16.1
17-Jun,66.6
17-Jul,621
17-Aug,297
17-Sep,35
17-Oct,26.5
17-Nov,40.7
17-Dec,34.8
18-Jan,8.5
18-Feb,29.6
18-Mar,49.5
18-Apr,130.3
18-May,222
18-Jun,171.5
18-Jul,185.6
18-Aug,202.6
18-Sep,68.5
18-Oct,120.5
18-Nov,79.1
18-Dec,16.4
19-Jan,0
19-Feb,23.8
19-Mar,26.8
19-Apr,47.3
19-May,37.8
19-Jun,74
19-Jul,194.4
19-Aug,190.5
19-Sep,139.8
19-Oct,55.5
19-Nov,78.8
19-Dec,22.6
